Date, Close/Last, Volume, Open, High, Low
1/3/2020,$443.01 ,17794700,$440.50 ,$454 ,$436.92 
1/2/2020,$430.26 ,9558386,$424.50 ,$430.70 ,$421.71 
12/31/2019,$418.33 ,10292460,$405 ,$421.29 ,$402.08 
12/30/2019,$414.70 ,12601270,$428.79 ,$429 ,$409.26 
12/27/2019,$430.38 ,9956827,$435 ,$435.31 ,$426.11 
12/26/2019,$430.94 ,10648290,$427.91 ,$433.48 ,$426.35 
12/24/2019,$425.25 ,8054720,$418.36 ,$425.47 ,$412.69 
12/23/2019,$419.22 ,13332820,$411.78 ,$422.01 ,$410 
12/20/2019,$405.59 ,14785210,$410.29 ,$413 ,$400.19 
12/19/2019,$404.04 ,18120310,$397.32 ,$406.85 ,$396.50 
12/18/2019,$393.15 ,14136390,$380.63 ,$395.22 ,$380.58 
12/17/2019,$378.99 ,8503775,$378.99 ,$385.50 ,$375.90 
12/16/2019,$381.50 ,18220940,$362.55 ,$383.61 ,$362.50 
12/13/2019,$358.39 ,6574281,$361.05 ,$365.21 ,$354.64 
12/12/2019,$359.68 ,7776211,$354.92 ,$362.74 ,$353.23 
12/11/2019,$352.70 ,6919162,$351.88 ,$357.19 ,$351.09 
12/10/2019,$348.84 ,8839951,$339.96 ,$350.73 ,$339.31 
12/9/2019,$339.53 ,9040217,$336.59 ,$344.45 ,$335.08 
12/6/2019,$335.89 ,7618937,$335 ,$338.86 ,$334.77 
12/5/2019,$330.37 ,3736976,$332.83 ,$334.42 ,$327.25 
12/4/2019,$333.03 ,5536255,$337.75 ,$337.86 ,$332.85 
12/3/2019,$336.20 ,6613476,$332.62 ,$337.91 ,$332.19 
12/2/2019,$334.87 ,6081986,$329.40 ,$336.38 ,$328.69 
11/29/2019,$329.94 ,2465629,$331.11 ,$331.26 ,$327.50 
11/27/2019,$331.29 ,5563459,$331.12 ,$333.93 ,$328.57 
11/26/2019,$328.92 ,7956239,$335.27 ,$335.50 ,$327.10 
11/25/2019,$336.34 ,12345770,$344.32 ,$344.57 ,$334.46 
11/22/2019,$333.04 ,16870640,$340.16 ,$341 ,$330 
11/21/2019,$354.83 ,6110013,$354.51 ,$360.84 ,$354.00 
11/20/2019,$352.22 ,6733965,$360 ,$361.20 ,$349.57 
11/19/2019,$359.52 ,7736078,$351.75 ,$359.99 ,$347.80 
11/18/2019,$349.99 ,4408505,$352.92 ,$353.15 ,$346.10 
11/15/2019,$352.17 ,4812563,$350.64 ,$352.80 ,$348.36 
11/14/2019,$349.35 ,6471703,$346.11 ,$353.84 ,$342.91 
11/13/2019,$346.11 ,8467863,$355 ,$356.33 ,$345.18 
11/12/2019,$349.93 ,7359383,$346.90 ,$350.37 ,$344.04 
11/11/2019,$345.09 ,9993689,$343.95 ,$349.19 ,$342 
11/8/2019,$337.14 ,6074221,$334.50 ,$337.46 ,$332.50 
11/7/2019,$335.54 ,14467350,$329.14 ,$341.50 ,$328.02 
11/6/2019,$326.58 ,7940932,$318 ,$326.72 ,$314.50 
11/5/2019,$317.22 ,6943417,$319.62 ,$323.51 ,$316.12 
11/4/2019,$317.47 ,8787040,$314.80 ,$321.94 ,$309.26 
11/1/2019,$313.31 ,6383929,$316.32 ,$316.48 ,$309.80 
10/31/2019,$314.92 ,5066956,$313.10 ,$319 ,$313 
10/30/2019,$315.01 ,9641810,$313 ,$318.79 ,$309.97 
10/29/2019,$316.22 ,12684270,$319.99 ,$324.30 ,$314.75 
10/28/2019,$327.71 ,18870290,$327.54 ,$340.84 ,$322.60 
10/25/2019,$328.13 ,30006090,$297.72 ,$330 ,$296.11 
10/24/2019,$299.68 ,29819230,$298.37 ,$304.93 ,$289.20 
10/23/2019,$254.68 ,11216180,$254.50 ,$256.14 ,$251.35 
10/22/2019,$255.58 ,4625095,$254.32 ,$258.33 ,$250.85 
10/21/2019,$253.50 ,5108101,$258.33 ,$259.50 ,$250.18 
10/18/2019,$256.95 ,5753666,$260.70 ,$262.80 ,$255.10 
10/17/2019,$261.97 ,4779043,$262.50 ,$264.78 ,$260.17 
10/16/2019,$259.75 ,6704303,$257.39 ,$262.10 ,$256.92 
10/15/2019,$257.89 ,6479456,$257.70 ,$260 ,$254.12 
10/14/2019,$256.96 ,10226860,$247.90 ,$258.55 ,$247.13 
10/11/2019,$247.89 ,8488159,$247.15 ,$251.08 ,$246.81 
10/10/2019,$244.74 ,6313417,$245.28 ,$249.28 ,$241.58 
10/9/2019,$244.53 ,6935033,$241.32 ,$247.30 ,$240.65 
10/8/2019,$240.05 ,8702338,$235.87 ,$243.94 ,$234.50 
10/7/2019,$237.72 ,8086957,$229.80 ,$238.56 ,$228.55 
10/4/2019,$231.43 ,8021180,$231.61 ,$234.78 ,$228.07 
10/3/2019,$233.03 ,15137760,$231.86 ,$234.48 ,$224.28 
10/2/2019,$243.13 ,6256548,$243.29 ,$244.65 ,$239.43 
10/1/2019,$244.69 ,6196290,$241.50 ,$245.95 ,$239.13 
9/30/2019,$240.87 ,5946161,$243 ,$243.98 ,$236.11 
9/27/2019,$242.13 ,11123180,$242.20 ,$248.71 ,$238.73 
9/26/2019,$242.56 ,12078790,$230.66 ,$243.31 ,$227.40 
9/25/2019,$228.70 ,9444286,$224.56 ,$228.98 ,$218.36 
9/24/2019,$223.21 ,12941110,$241.52 ,$241.99 ,$222.61 
9/23/2019,$241.23 ,4391630,$240 ,$245.18 ,$239.22 
9/20/2019,$240.62 ,6506264,$246.49 ,$246.95 ,$238.16 
9/19/2019,$246.60 ,4883135,$246 ,$247.94 ,$244.84 
9/18/2019,$243.49 ,4228103,$245 ,$248.17 ,$242.37 
9/17/2019,$244.79 ,3946909,$242.47 ,$245.60 ,$240.37 
9/16/2019,$242.81 ,4728096,$246 ,$247.43 ,$241.17 
9/13/2019,$245.20 ,5313145,$246.96 ,$248.45 ,$244.87 
9/12/2019,$245.87 ,8581210,$247.70 ,$253.50 ,$244.40 
9/11/2019,$247.10 ,10042780,$237.38 ,$248.17 ,$236 
9/10/2019,$235.54 ,4883714,$230.80 ,$235.54 ,$228.94 
9/9/2019,$231.79 ,4802669,$230 ,$233.76 ,$229.23 
9/6/2019,$227.45 ,4189372,$227.20 ,$229.64 ,$225.17 
9/5/2019,$229.58 ,7403322,$222.50 ,$229.80 ,$220.85 
9/4/2019,$220.68 ,5768696,$226.89 ,$228.46 ,$219.21 
9/3/2019,$225.01 ,5360546,$224.08 ,$228.95 ,$223.16 
8/30/2019,$225.61 ,9327775,$229.15 ,$232.44 ,$224.21 
8/29/2019,$221.71 ,5183104,$219 ,$223.40 ,$218 
8/28/2019,$215.59 ,3238625,$213.69 ,$217.25 ,$212.31 
8/27/2019,$214.08 ,5420727,$215.74 ,$218.80 ,$212.03 
8/26/2019,$215 ,5054414,$213.60 ,$215.02 ,$211.54 
8/23/2019,$211.40 ,8559704,$219.97 ,$221.17 ,$211 
8/22/2019,$222.15 ,6564964,$222.80 ,$225.40 ,$218.22 
8/21/2019,$220.83 ,7799744,$222.01 ,$223.22 ,$217.60 
8/20/2019,$225.86 ,4170527,$227.62 ,$229.09 ,$224.54 
8/19/2019,$226.83 ,5311748,$224.21 ,$227.83 ,$221.70 
8/16/2019,$219.94 ,5207376,$216.66 ,$222.24 ,$216.02 
